yjnr	ejnr
城乡建设	城市建设和市政管理
城乡建设	城乡规划
城乡建设	村镇建设
城乡建设	工程质量
城乡建设	国有土地上房屋征收与补偿
城乡建设	集体土地上房屋拆迁与补偿
城乡建设	建筑市场
城乡建设	其他
城乡建设	住房保障与房地产
党务政务	党的建设
党务政务	港澳台侨
党务政务	国防外交
党务政务	民族宗教
党务政务	其他
党务政务	群众团体
党务政务	宣传舆论
党务政务	政治体制
国土资源	海洋气象地震
国土资源	矿产资源管理
国土资源	其他
国土资源	土地征收
国土资源	土地资源管理
环境保护	环保管理
环境保护	环境污染
环境保护	建设项目审批
纪检监察	党政处分
纪检监察	干部作风
纪检监察	滥用职权
纪检监察	其他
纪检监察	失职渎职
纪检监察	贪污贿赂
交通运输	出租车管理
交通运输	建设管理
交通运输	客货运输
交通运输	其他
交通运输	邮政管理
教育文体	教师队伍和待遇
教育文体	教育行政管理
教育文体	教育收费
教育文体	教育体制
教育文体	考试招生
教育文体	其他
教育文体	失学辍学
教育文体	体育
教育文体	文化
教育文体	文物管理
经济管理	安全生产
经济管理	保险证券期货
经济管理	国资监管
经济管理	宏观调控
经济管理	金融财税
经济管理	能源管理
经济管理	其他
经济管理	企业破产
科技与信息产业	电信
科技与信息产业	科学技术
科技与信息产业	其他
科技与信息产业	信息化建设
科技与信息产业	知识产权
劳动和社会保障	城镇居民社会保险
劳动和社会保障	城镇职工社会保险
劳动和社会保障	工资福利
劳动和社会保障	就业培训
劳动和社会保障	劳动保护
劳动和社会保障	劳动关系
劳动和社会保障	其他
劳动和社会保障	社保基金管理
劳动和社会保障	退休政策及待遇
民政	福利慈善
民政	复退安置
民政	基层选举和社区建设
民政	救灾募捐
民政	民间组织
民政	其他
民政	区划地名
民政	社会服务
民政	社会救助
民政	优抚
农村农业	草原草场
农村农业	村务管理
农村农业	动物防疫
农村农业	扶贫开发
农村农业	惠农补贴
农村农业	林业管理
农村农业	农副产品流通
农村农业	农垦农场
农村农业	农资农技
农村农业	其他
农村农业	水库移民
农村农业	水利水电
农村农业	土地承包经营
农村农业	野生资源管理
其他	表达情感
其他	历史遗留问题
其他	领导事务
其他	其他
商贸旅游	旅游管理
商贸旅游	其他
商贸旅游	商业贸易
商贸旅游	市场监管
商贸旅游	质监检验检疫
卫生计生	公共卫生
卫生计生	其他
卫生计生	人口计生
卫生计生	食品药品监管
卫生计生	医患纠纷
卫生计生	医政监管
政法	法律服务
政法	法制建设
政法	行政复议
政法	户籍证件
政法	交通管理
政法	警务督察
政法	其他
政法	社会治安
政法	诉讼
政法	刑案侦破
政法	刑罚执行
政法	仲裁与调解
组织人事	编制职位
组织人事	机构改革
组织人事	军转安置
组织人事	离休
组织人事	其他
组织人事	人力资源
组织人事	选拔任用
组织人事	招录辞退
