shij_02	xj_02
石家庄市	市辖区
石家庄市	长安区
石家庄市	桥西区
石家庄市	新华区
石家庄市	井陉矿区
石家庄市	裕华区
石家庄市	藁城区
石家庄市	鹿泉区
石家庄市	栾城区
石家庄市	井陉县
石家庄市	正定县
石家庄市	行唐县
石家庄市	灵寿县
石家庄市	高邑县
石家庄市	深泽县
石家庄市	赞皇县
石家庄市	无极县
石家庄市	平山县
石家庄市	元氏县
石家庄市	赵县
石家庄市	石家庄高新技术产业开发区
石家庄市	石家庄循环化工园区
石家庄市	辛集市
石家庄市	晋州市
石家庄市	新乐市
石家庄市	第一区
石家庄市	第二区
唐山市	市辖区
唐山市	路南区
唐山市	路北区
唐山市	古冶区
唐山市	开平区
唐山市	丰南区
唐山市	丰润区
唐山市	曹妃甸区
唐山市	滦县
唐山市	滦南县
唐山市	乐亭县
唐山市	迁西县
唐山市	玉田县
唐山市	唐山市芦台经济技术开发区
唐山市	唐山市汉沽管理区
唐山市	唐山高新技术产业开发区
唐山市	河北唐山海港经济开发区
唐山市	遵化市
唐山市	迁安市
秦皇岛市	市辖区
秦皇岛市	海港区
秦皇岛市	山海关区
秦皇岛市	北戴河区
秦皇岛市	抚宁区
秦皇岛市	青龙满族自治县
秦皇岛市	昌黎县
秦皇岛市	卢龙县
秦皇岛市	秦皇岛市经济技术开发区
秦皇岛市	北戴河新区
邯郸市	市辖区
邯郸市	邯山区
邯郸市	丛台区
邯郸市	复兴区
邯郸市	峰峰矿区
邯郸市	肥乡区
邯郸市	永年区
邯郸市	临漳县
邯郸市	成安县
邯郸市	大名县
邯郸市	涉县
邯郸市	磁县
邯郸市	邱县
邯郸市	鸡泽县
邯郸市	广平县
邯郸市	馆陶县
邯郸市	魏县
邯郸市	曲周县
邯郸市	邯郸经济技术开发区
邯郸市	邯郸冀南新区
邯郸市	武安市
邢台市	市辖区
邢台市	桥东区
邢台市	桥西区
邢台市	邢台县
邢台市	临城县
邢台市	内丘县
邢台市	柏乡县
邢台市	隆尧县
邢台市	任县
邢台市	南和县
邢台市	宁晋县
邢台市	巨鹿县
邢台市	新河县
邢台市	广宗县
邢台市	平乡县
邢台市	威县
邢台市	清河县
邢台市	临西县
邢台市	河北邢台经济开发区
邢台市	南宫市
邢台市	沙河市
保定市	市辖区
保定市	竞秀区
保定市	莲池区
保定市	满城区
保定市	清苑区
保定市	徐水区
保定市	涞水县
保定市	阜平县
保定市	定兴县
保定市	唐县
保定市	高阳县
保定市	容城县
保定市	涞源县
保定市	望都县
保定市	安新县
保定市	易县
保定市	曲阳县
保定市	蠡县
