qh	zrdw
河北省	河北省人社厅
河北省	河北省教育厅
河北省	河北省财政厅
河北省	河北省财政厅
河北省	河北省地震厅
河北省	河北省民政厅
河北省	河北省文化厅
河北省	测试上级机构三
河北省	河北省体育总局
河北省	河北省环保厅
河北省	河北省国土资源保护厅
河北省	河北省水务厅
河北省	河北省人事厅
河北省	河北省农业厅
河北省	河北省住建厅
河北省	河北省科技厅
河北省	河北省司法厅
河北省	河北省公安厅
河北省	河北省体育厅
河北省	河北省监察厅
河北省	河北省人民政府
河北省	河北省人力资源和社会保障厅
河北省	河北省外事厅
河北省	甲甲人民政府
河北省	甲乙
河北省	甲丙
河北省	河北省民政厅
河北省	河北省粮食局
保定市	保定市地震局
石家庄市	测试上级机构
石家庄市	石家庄市粮食局
石家庄市	石家庄市水利局
石家庄市	石家庄市人社局
石家庄市	测试石家庄市体育局
石家庄市	石家庄市公安局
石家庄市	测试上级机构二
石家庄市	石家庄市教育局
唐山市	唐山市地震局
唐山市	唐山市民政局
承德市	承德市教育局
张家口市	张家口市地震局
衡水市	衡水市司法局
衡水市	衡水市环保局
衡水市	衡水市教育局
衡水市	衡水市财政局
衡水市	衡水市公安局
衡水市	衡水市体育局
邯郸市	邯郸市教育局
邯郸市	邯郸市土地局
邯郸市	邯郸市文体局
测试一市	测试一市物价局
测试一市	测试一市财政局
测试一市	测试一市人民政府
测试一市	测试一市体育局
廊坊市	廊坊市体育局
廊坊市	廊坊市人社局
廊坊市	廊坊市教育局
第一区	第一区信访局
第一区	第一区文化局
第一区	第一区体育局
第一区	第一区教育局
第一区	第一区人社局
市中区	市中区卫生和计划生育委员会
广阳区	广阳区教育局
广阳区	广阳市信访局
市辖区	周测试
市辖区	第二机构
市辖区	第三机构
市辖区	第一机构
长安区	长安区财政局
长安区	长安区文化局
长安区	长安区教育局（二）
长安区	长安区第二法院
长安区	长安区检察院
长安区	长安区体育局
长安区	长安区外事局
长安区	长安区信访局测试
长安区	长安区人社局
长安区	长安区教育局
长安区	长安区第一人民法院
长安区	长安区科技馆
固安县	固安县教育局
邯山区	邯山区土地局
邯山区	邯山区文体局
竞秀区	保定市竞秀区卫计局
第一区	第一区信访局
第一区	第一区文化局
第一区	第一区体育局
第一区	第一区教育局
第一区	第一区人社局
市中区	市中区卫生和计划生育委员会
广阳区	广阳区教育局
广阳区	广阳市信访局
市辖区	周测试
市辖区	第二机构
市辖区	第三机构
市辖区	第一机构
长安区	长安区财政局
长安区	长安区文化局
长安区	长安区教育局（二）
长安区	长安区第二法院
长安区	长安区检察院
长安区	长安区体育局
长安区	长安区外事局
长安区	长安区信访局测试
长安区	长安区人社局
长安区	长安区教育局
长安区	长安区第一人民法院
长安区	长安区科技馆
固安县	固安县教育局
邯山区	邯山区土地局
邯山区	邯山区文体局
竞秀区	保定市竞秀区卫计局
第一区	第一区信访局
第一区	第一区文化局
第一区	第一区体育局
第一区	第一区教育局
第一区	第一区人社局
市中区	市中区卫生和计划生育委员会
广阳区	广阳区教育局
广阳区	广阳市信访局
市辖区	周测试
市辖区	第二机构
市辖区	第三机构
市辖区	第一机构
长安区	长安区财政局
长安区	长安区文化局
长安区	长安区教育局（二）
长安区	长安区第二法院
长安区	长安区检察院
长安区	长安区体育局
长安区	长安区外事局
长安区	长安区信访局测试
长安区	长安区人社局
长安区	长安区教育局
长安区	长安区第一人民法院
长安区	长安区科技馆
固安县	固安县教育局
邯山区	邯山区土地局
邯山区	邯山区文体局
竞秀区	保定市竞秀区卫计局
