shij_02	xj_02
昆明市	市辖区
昆明市	五华区
昆明市	盘龙区
昆明市	官渡区
昆明市	西山区
昆明市	东川区
昆明市	呈贡区
昆明市	晋宁区
昆明市	富民县
昆明市	宜良县
昆明市	石林彝族自治县
昆明市	嵩明县
昆明市	禄劝彝族苗族自治县
昆明市	寻甸回族彝族自治县
昆明市	安宁市
曲靖市	麒麟区
曲靖市	沾益区
曲靖市	马龙区
曲靖市	陆良县
曲靖市	师宗县
曲靖市	罗平县
曲靖市	富源县
曲靖市	会泽县
曲靖市	宣威市
玉溪市	红塔区
玉溪市	江川区
玉溪市	澄江县
玉溪市	通海县
玉溪市	华宁县
玉溪市	易门县
玉溪市	峨山彝族自治县
玉溪市	新平彝族傣族自治县
玉溪市	元江哈尼族彝族傣族自治县
保山市	隆阳区
保山市	施甸县
保山市	龙陵县
保山市	昌宁县
保山市	腾冲市
昭通市	昭阳区
昭通市	鲁甸县
昭通市	巧家县
昭通市	盐津县
昭通市	大关县
昭通市	永善县
昭通市	绥江县
昭通市	镇雄县
昭通市	彝良县
昭通市	威信县
昭通市	水富市
丽江市	古城区
丽江市	玉龙纳西族自治县
丽江市	永胜县
丽江市	华坪县
丽江市	宁蒗彝族自治县
普洱市	思茅区
普洱市	宁洱哈尼族彝族自治县
普洱市	墨江哈尼族自治县
普洱市	景东彝族自治县
普洱市	景谷傣族彝族自治县
普洱市	镇沅彝族哈尼族拉祜族自治县
普洱市	江城哈尼族彝族自治县
普洱市	孟连傣族拉祜族佤族自治县
普洱市	澜沧拉祜族自治县
普洱市	西盟佤族自治县
临沧市	临翔区
临沧市	凤庆县
临沧市	云县
临沧市	永德县
临沧市	镇康县
临沧市	双江拉祜族佤族布朗族傣族自治县
临沧市	耿马傣族佤族自治县
临沧市	沧源佤族自治县
楚雄州	楚雄市
楚雄州	双柏县
楚雄州	牟定县
楚雄州	南华县
楚雄州	姚安县
楚雄州	大姚县
楚雄州	永仁县
楚雄州	元谋县
楚雄州	武定县
楚雄州	禄丰县
红河州	个旧市
红河州	开远市
红河州	蒙自市
红河州	弥勒市
红河州	屏边苗族自治县
红河州	建水县
红河州	石屏县
红河州	泸西县
红河州	元阳县
红河州	红河县
红河州	金平苗族瑶族傣族自治县
红河州	绿春县
红河州	河口瑶族自治县
文山州	文山市
文山州	砚山县
文山州	西畴县
文山州	麻栗坡县
文山州	马关县
文山州	丘北县
文山州	广南县
文山州	富宁县
西双版纳	景洪市
西双版纳	勐海县
西双版纳	勐腊县
大理州	大理市
大理州	漾濞彝族自治县
大理州	祥云县
大理州	宾川县
大理州	弥渡县
大理州	南涧彝族自治县
大理州	巍山彝族回族自治县
大理州	永平县
大理州	云龙县
大理州	洱源县
大理州	剑川县
大理州	鹤庆县
德宏州	瑞丽市
德宏州	芒市
德宏州	梁河县
德宏州	盈江县
德宏州	陇川县
怒江州	泸水市
怒江州	福贡县
怒江州	贡山独龙族怒族自治县
怒江州	兰坪白族普米族自治县
迪庆州	香格里拉市
迪庆州	德钦县
迪庆州	维西傈僳族自治县
